outcome,treatment,est,se,p,n_used,ok,model,stars,p_fmt,outcome_label,treatment_label,primary
O1_rr_index,C_fin_nextyear,0.1296018271062575,0.024916065562072997,1.9764753167450522e-7,NA,TRUE,"GPS->OLS (ATE, continuous)",***,1.98e-07,Racial resentment index,Personal financial prospective worry (continuous),TRUE
O1_rr_index,C_nat_econ_last,0.2257532804564585,0.024660616419745235,0,NA,TRUE,"GPS->OLS (ATE, continuous)",***,< 1e-16,Racial resentment index,National retrospective economic pessimism (continuous),TRUE
O1_rr_index,C_nat_econ_next,0.08585338914704611,0.022728417929518994,1.5850032053932317e-4,NA,TRUE,"GPS->OLS (ATE, continuous)",***,0.000159,Racial resentment index,National prospective economic pessimism (continuous),TRUE
O1_rr_index,C_pers_fin_last,0.13123533520949976,0.024089710349632497,5.100366107235743e-8,NA,TRUE,"GPS->OLS (ATE, continuous)",***,5.10e-08,Racial resentment index,Personal financial retrospective pessimism (continuous),TRUE
O4_welfare_binary,C_fin_nextyear,0.030390435025659253,0.011894982995050271,0.010621977171060282,NA,TRUE,"GPS->OLS (ATE, continuous)",*,0.010622,Welfare spending opposition,Personal financial prospective worry (continuous),FALSE
O4_welfare_binary,C_nat_econ_last,0.08419410224577893,0.01184225205145641,1.163513729807164e-12,NA,TRUE,"GPS->OLS (ATE, continuous)",***,1.16e-12,Welfare spending opposition,National retrospective economic pessimism (continuous),FALSE
O4_welfare_binary,C_nat_econ_next,0.017294987393700254,0.010870638050877277,0.11161366966283204,NA,TRUE,"GPS->OLS (ATE, continuous)",,0.111614,Welfare spending opposition,National prospective economic pessimism (continuous),FALSE
O4_welfare_binary,C_pers_fin_last,0.010676663828802611,0.011577935254901002,0.3564471486865266,NA,TRUE,"GPS->OLS (ATE, continuous)",,0.356447,Welfare spending opposition,Personal financial retrospective pessimism (continuous),FALSE
O5_aidpoor_binary,C_fin_nextyear,0.03811815794704911,0.012028025329649469,0.0015290552497198018,NA,TRUE,"GPS->OLS (ATE, continuous)",**,0.001529,Aid to poor opposition,Personal financial prospective worry (continuous),FALSE
O5_aidpoor_binary,C_nat_econ_last,0.053958495192607536,0.012069836065664223,7.802808449364207e-6,NA,TRUE,"GPS->OLS (ATE, continuous)",***,7.80e-06,Aid to poor opposition,National retrospective economic pessimism (continuous),FALSE
O5_aidpoor_binary,C_nat_econ_next,0.03533272478578444,0.010945112332949442,0.001245832598633534,NA,TRUE,"GPS->OLS (ATE, continuous)",**,0.001246,Aid to poor opposition,National prospective economic pessimism (continuous),FALSE
O5_aidpoor_binary,C_pers_fin_last,0.021638315139732127,0.011693890811631495,0.06425666313824685,NA,TRUE,"GPS->OLS (ATE, continuous)",.,0.064257,Aid to poor opposition,Personal financial retrospective pessimism (continuous),FALSE
O6_status_jobs_threat,C_fin_nextyear,0.11017980761481706,0.028034877707272778,8.491136231647545e-5,NA,TRUE,"GPS->OLS (ATE, continuous)",***,8.49e-05,White status / jobs threat,Personal financial prospective worry (continuous),FALSE
O6_status_jobs_threat,C_nat_econ_last,0.18689473691206565,0.028022990500472317,2.5696333949554173e-11,NA,TRUE,"GPS->OLS (ATE, continuous)",***,2.57e-11,White status / jobs threat,National retrospective economic pessimism (continuous),FALSE
O6_status_jobs_threat,C_nat_econ_next,0.05687062126076597,0.025569066790438664,0.02613524643822074,NA,TRUE,"GPS->OLS (ATE, continuous)",*,0.026135,White status / jobs threat,National prospective economic pessimism (continuous),FALSE
O6_status_jobs_threat,C_pers_fin_last,0.11637020727717447,0.027179264194900226,1.8557057724466475e-5,NA,TRUE,"GPS->OLS (ATE, continuous)",***,1.86e-05,White status / jobs threat,Personal financial retrospective pessimism (continuous),FALSE
O7_gov_favors_blacks_amt,C_fin_nextyear,0.2159963779729271,0.03754618684297046,8.776798177123624e-9,NA,TRUE,"GPS->OLS (ATE, continuous)",***,8.78e-09,Government favors Blacks (amount),Personal financial prospective worry (continuous),FALSE
O7_gov_favors_blacks_amt,C_nat_econ_last,0.21716752680986737,0.038003997535530055,1.10134641406745e-8,NA,TRUE,"GPS->OLS (ATE, continuous)",***,1.10e-08,Government favors Blacks (amount),National retrospective economic pessimism (continuous),FALSE
O7_gov_favors_blacks_amt,C_nat_econ_next,0.10651345310432106,0.034491896966890014,0.0020145981486170417,NA,TRUE,"GPS->OLS (ATE, continuous)",**,0.002015,Government favors Blacks (amount),National prospective economic pessimism (continuous),FALSE
O7_gov_favors_blacks_amt,C_pers_fin_last,0.17214908334658457,0.03649441224873008,2.391885342012401e-6,NA,TRUE,"GPS->OLS (ATE, continuous)",***,2.39e-06,Government favors Blacks (amount),Personal financial retrospective pessimism (continuous),FALSE
